Entry Time,Position,Entry Price,SL Price,TP Price,Exit Time,Exit Reason,Exit Price,P&L,cumulative_pnl
2020-01-02 01:09:00,long,8784.75,,,2020-01-02 01:17:00,SL,8779.75,-115.0,-115.0
2020-01-02 01:33:00,short,8776.75,,,2020-01-02 01:59:00,SL,8781.75,-115.0,-230.0
2020-01-02 07:14:00,long,8790.5,,,2020-01-02 07:21:00,TP,8795.5,85.0,-145.0
2020-01-02 20:43:00,long,8868.0,,,2020-01-02 20:50:00,TP,8873.0,85.0,-60.0
2020-01-03 01:19:00,short,8903.75,,,2020-01-03 01:30:00,TP,8898.75,85.0,25.0
2020-01-03 09:35:00,long,8779.25,,,2020-01-03 09:42:00,SL,8774.25,-115.0,-90.0
2020-01-03 11:12:00,short,8751.75,,,2020-01-03 11:18:00,SL,8756.75,-115.0,-205.0
2020-01-03 13:54:00,long,8796.25,,,2020-01-03 13:55:00,SL,8791.25,-115.0,-320.0
2020-01-03 14:30:00,long,8791.5,,,2020-01-03 14:31:00,TP,8796.5,85.0,-235.0
2020-01-03 15:31:00,short,8825.25,,,2020-01-03 15:33:00,SL,8830.25,-115.0,-350.0
2020-01-03 15:57:00,long,8822.5,,,2020-01-03 15:58:00,SL,8817.5,-115.0,-465.0
2020-01-03 16:06:00,long,8815.0,,,2020-01-03 16:07:00,SL,8810.0,-115.0,-580.0
2020-01-03 17:24:00,long,8847.75,,,2020-01-03 17:33:00,TP,8852.75,85.0,-495.0
2020-01-03 19:28:00,long,8827.0,,,2020-01-03 19:37:00,TP,8832.0,85.0,-410.0
2020-01-06 04:42:00,short,8788.5,,,2020-01-06 04:52:00,TP,8783.5,85.0,-325.0
2020-01-06 05:55:00,short,8781.25,,,2020-01-06 06:03:00,TP,8776.25,85.0,-240.0
2020-01-06 09:00:00,long,8732.25,,,2020-01-06 09:02:00,TP,8737.25,85.0,-155.0
2020-01-06 13:41:00,short,8748.25,,,2020-01-06 14:06:00,SL,8753.25,-115.0,-270.0
2020-01-06 16:34:00,short,8830.75,,,2020-01-06 16:49:00,TP,8825.75,85.0,-185.0
2020-01-06 18:24:00,long,8832.5,,,2020-01-06 19:00:00,SL,8827.5,-115.0,-300.0
2020-01-06 21:56:00,long,8854.0,,,2020-01-06 23:09:00,TP,8859.0,85.0,-215.0
2020-01-06 23:28:00,long,8856.5,,,2020-01-06 23:43:00,SL,8851.5,-115.0,-330.0
2020-01-07 03:35:00,short,8871.5,,,2020-01-07 04:20:00,SL,8876.5,-115.0,-445.0
2020-01-07 04:59:00,short,8882.25,,,2020-01-07 05:30:00,TP,8877.25,85.0,-360.0
2020-01-07 05:50:00,short,8875.25,,,2020-01-07 06:16:00,TP,8870.25,85.0,-275.0
2020-01-07 12:19:00,long,8873.25,,,2020-01-07 12:44:00,TP,8878.25,85.0,-190.0
2020-01-07 16:16:00,short,8880.0,,,2020-01-07 16:25:00,SL,8885.0,-115.0,-305.0
2020-01-07 20:26:00,long,8877.75,,,2020-01-07 20:39:00,SL,8872.75,-115.0,-420.0
2020-01-08 02:59:00,short,8818.5,,,2020-01-08 03:05:00,TP,8813.5,85.0,-335.0
2020-01-08 03:50:00,long,8811.5,,,2020-01-08 03:52:00,TP,8816.5,85.0,-250.0
2020-01-08 14:50:00,short,8879.75,,,2020-01-08 14:54:00,SL,8884.75,-115.0,-365.0
2020-01-08 16:28:00,long,8886.5,,,2020-01-08 16:29:00,TP,8891.5,85.0,-280.0
2020-01-09 02:30:00,short,8954.75,,,2020-01-09 02:54:00,TP,8949.75,85.0,-195.0
2020-01-09 03:07:00,short,8950.0,,,2020-01-09 03:12:00,TP,8945.0,85.0,-110.0
2020-01-09 04:07:00,long,8947.5,,,2020-01-09 04:32:00,TP,8952.5,85.0,-25.0
2020-01-09 05:36:00,long,8960.0,,,2020-01-09 05:48:00,TP,8965.0,85.0,60.0
2020-01-09 07:50:00,short,8984.0,,,2020-01-09 07:58:00,SL,8989.0,-115.0,-55.0
2020-01-09 08:50:00,short,8989.25,,,2020-01-09 08:58:00,TP,8984.25,85.0,30.0
